"","GSM3141461_CON_GC_1.CEL","GSM3141462_CON_GC_2.CEL","GSM3141463_CON_GC_3.CEL","GSM3141464_PCOS_GC_1.CEL","GSM3141465_PCOS_GC_2.CEL","GSM3141466_PCOS_GC_3.CEL"
"DDX11L1",6.56620280320485,6.16009465239652,6.08738261575825,6.77896862988912,6.45598250713789,6.36804686333226
"OR4F5",3.70918840127739,3.63876626826258,3.70655031344845,3.83371820287765,3.71454196336884,3.70951873785683
"LINC01001",9.46929322283036,9.53334574951923,9.91184626936005,10.3601642273486,9.37097939371965,10.04000467409
"LINC01061",9.83228280429504,10.062626179337,10.279684588924,10.758837107415,9.83185406961244,10.1737925692767
"OR4F29",3.47538806487318,3.64685405606358,3.18443098109934,3.49135550859308,3.37561425193264,3.65898716944999
"LOC101928626",5.1398333661317,4.98852363244305,4.96141936307957,5.14759590100576,5.1313505057984,5.04044372915698
"LINC01128",7.3203485636792,7.31718869208152,7.57795067899794,7.3520923318506,7.36781098129284,7.40118690762575
"LOC284600",6.91383665168757,6.82563494280661,6.91520232621918,6.92208131234747,7.01901341649912,6.86335154541806
"SAMD11",7.04017835655367,7.19161198016442,7.22641312741108,7.14107387848269,7.23248749567585,7.12320520360684
"KLHL17",6.70548228604868,6.81633205122873,6.78063998918756,6.7708773698441,6.84114097655509,6.77738567171588
"PLEKHN1",6.91426543972631,6.99385438467028,6.99245153126749,7.00314256528735,7.0782568598693,6.96328478038897
"ISG15",6.83346797797864,6.72981659809464,6.65164413155578,6.96133963399798,6.83754523208052,6.67633070950815
"AGRN",7.04144358332794,7.16927783931983,7.11458310477531,7.14105316409353,7.1762404205757,7.07422226140106
"LOC100288175",7.09954722093716,7.01132639580409,7.02373722972362,7.05348852457458,7.15502313124337,7.09459901107686
"LINC01342",6.59512184155566,6.84531040613722,6.74187378295884,6.64706478154647,6.94244612230055,6.82225917757657
"MIR200B",5.96257211925946,5.92421748013683,5.97494323138766,5.97820165771191,5.91565501615245,5.85918016503673
"MIR200A",3.50348746042246,3.82993269729817,3.37943369581755,3.78008140728144,3.83884857705106,3.39366338514706
"MIR429",4.01047319265695,4.31933254377875,4.10089346331189,4.15853276809946,3.74290518809789,3.58423576667554
"TTLL10",6.80938365004707,6.86241317666698,6.79718191929875,6.86356797201276,6.93923526601197,6.81170214842848
"B3GALT6",7.53423625990335,8.11406526905763,7.92603705079159,7.77558053079963,7.81565112881148,7.77260721977419
"SCNN1D",6.48062008884781,6.57198172160814,6.64265410468323,6.60854815281772,6.71931715896867,6.559376153072
"PUSL1",6.64900155013234,6.7599422890185,6.73519897189702,6.72548946669131,6.80633634120789,6.68398188572504
"CPTP",6.35076208471017,6.45415447841273,6.66242420632174,6.5081922623637,6.51346358574871,6.44586024891297
"TAS1R3",6.67003102911483,6.62050992894805,6.77248094022799,6.79591459470013,6.74330804328773,6.70191075439392
"MRPL20-AS1",6.61026337283869,6.8842224596147,6.79848080213614,6.79829313985418,6.85362776016519,6.77303725576888
"TMEM88B",7.34319400284343,7.50887616677152,7.5415043604755,7.39676472462149,7.52399219048034,7.36402468376561
"VWA1",6.92859915857123,6.96891079138826,6.99340487245241,6.9563541945446,7.00216388057231,6.93729330756648
"ATAD3C",6.69076100985933,6.9926262845475,6.92551322858289,6.707224423483,6.93968172335555,6.99446319334795
"ATAD3B",7.4449072275179,7.69577280387484,7.67213011916468,7.42805054012335,7.67570736194954,7.69380451075267
"ATAD3A",7.69483896312698,8.02939370309799,7.95162079507368,7.66266161890525,7.93046671784361,7.94172133208859
"LOC105378586",6.11002649200092,6.11906822004922,6.13898017631083,5.99132723990692,6.10710835904871,6.22006282755352
"MIB2",7.11974294948789,7.22361249457711,7.26711380577671,7.20405950613053,7.34831394907647,7.21262608103559
"MMP23B",6.93008680741774,7.06031277222188,7.00573901755095,6.99072140653941,7.13238516889384,6.9492397614552
"MMP23A",6.83301460287297,7.02993615896119,6.99615902312417,6.95095791287066,7.09311817256193,6.95376872052483
"CALML6",6.62879216479483,6.6984425910617,6.73184520662737,6.73791569952927,6.77042048564082,6.74608165639719
"GABRD",6.62380054535749,6.81041837899147,6.7458398169459,6.71787303207582,6.79057410457781,6.68009649788095
"PRKCZ",6.91886211919785,7.15849615361247,7.03441885493192,7.06921613054889,7.18251036940863,6.90674125005603
"SKI",7.56983298501603,7.41551748997945,7.461765470182,7.39136659239392,7.57326843714711,7.43389094703495
"RER1",8.03266897253619,8.45094496931709,8.33590673393829,8.23888291705396,8.36739890896759,8.31306854657943
"PLCH2",6.70101831304213,6.73069735823998,6.74695509729249,6.74573340826388,6.80166624328524,6.67559126108966
"TNFRSF14",6.89354041490848,6.89945127604388,6.84747601234281,6.91087927888862,6.93403124650351,6.94073166251172
"PRXL2B",7.15715111686912,7.38166841800677,7.26875232202434,7.17802446932875,7.2256888890353,7.18191019339144
"ACTRT2",5.91125502268139,5.98926069577565,6.04908378867391,6.03181687604611,6.04878913336531,5.94630300201767
"PRDM16",6.48000644724992,6.47123442320201,6.53893910572124,6.49106206321201,6.61878432232361,6.45093267406097
"MIR4251",2.95320164975766,2.95854731987873,3.39186888781458,3.33692490658411,3.17012646184585,3.02263484557878
"ARHGEF16",6.38534922788713,6.4496783752942,6.51020504476968,6.50006355924531,6.54133685546675,6.41974562360216
"TPRG1L",7.57472721289752,7.66790140838249,7.68248343521161,7.6125644419865,7.64382693677705,7.57480358086203
"TP73",6.45528487525246,6.58155582642519,6.55723255828555,6.67277734652103,6.6811644797106,6.53474770181045
"CCDC27",5.88088494362643,5.99817868660525,5.87415124813595,6.02947482685006,6.0468977651181,5.85038147727532
"SMIM1",7.19948425390722,7.22271945880671,7.22432881509921,7.30658558671112,7.3394133559211,7.16934227476692
"DFFB",7.03981409936637,7.01093723467537,6.97585263524966,7.10066669140168,6.97866146516519,7.03993036214396
"LINC01134",5.05748495874025,5.11415872962555,4.98437718199211,5.10618592782509,5.21134719466592,5.07317833187013
"LINC01346",5.12679075578258,5.0209445174179,5.1117249564882,5.26896731296444,5.35001920929852,5.07546250463333
"LINC01777",4.7016581929575,4.7317976132362,4.79916325713971,4.72060248802962,4.70607917980349,4.79224436650336
"AJAP1",4.3947517138054,4.38243112267492,4.31410797127303,4.38042200414976,4.46594520572972,4.22210864400249
"KCNAB2",7.05267713246808,6.86320447381977,6.89211883760998,6.76948295833631,6.8381437073725,6.98812442424157
"RNF207",6.55099305606396,6.59233488930599,6.6201233307876,6.58937817379532,6.64711305143151,6.57364559083764
"ICMT-DT",5.59273738164494,5.48244188006316,5.52678848484366,5.5001164403086,5.53757347207234,5.39199216305125
"HES3",6.23365958152007,6.22589303249222,6.39511928608906,6.35591642484749,6.19713031907162,6.26221410151976
"ESPN",6.79209643337,6.97185979469908,6.9397029169414,6.98285305073679,7.04150631044677,6.90277420854891
"TAS1R1",5.46970944901276,5.50414839823821,5.52548113952647,5.63475415633912,5.64240481445336,5.54422190682983
"ZBTB48",6.15680854664851,6.33311054850765,6.33051935118662,6.28331041839717,6.25935199126303,6.27644669425028
"PHF13",6.60390562593768,6.77680131855496,6.83185249675044,6.77614387510008,6.80220015601047,6.66197693512929
"THAP3",6.38333132991895,6.46354800508154,6.43525305290249,6.47853602411009,6.44009034411541,6.37606633005574
"CAMTA1",7.86434002091474,7.90519922146128,7.83984454711043,7.90305337783592,7.93878863060169,7.84891112397169
"VAMP3",9.18767384858171,9.3671677646108,9.19764147095586,9.28094962457712,9.34874123778168,9.03226057755555
"PER3",6.79374203558083,7.01859964712107,6.89340100878774,6.88055713761236,7.11660184665924,6.95571842632492
"PARK7",8.13533723122461,8.29028836875839,8.22906771569314,8.16191807601877,8.21174718180697,8.24034797798426
"SLC45A1",6.553614176869,6.72720498179265,6.68857508628168,6.63264837449052,6.72123194447266,6.69255063459715
"ENO1-AS1",5.11527312668223,5.20945305257512,5.26185922359164,5.17497582957745,5.73865658859326,5.24986342548867
"CA6",5.02149685759396,5.05585227043376,4.94234439138173,5.08723822951031,5.17402430214284,4.93278088839497
"H6PD",7.62798015377706,7.82019143415065,7.86223244222292,7.64026391177254,7.69094223600145,7.71929443944886
"SPSB1",7.95889812610946,7.91467575146302,8.20974881801468,7.76657200313985,8.18575369728513,8.13170754090862
"SLC25A33",7.49860724390163,6.87250616404372,6.97503231230329,6.7608160625024,7.16003237083888,6.99147048545748
