"","Raw_data/GSE137684/GSM4084711_1.txt","Raw_data/GSE137684/GSM4084712_3.txt","Raw_data/GSE137684/GSM4084713_5.txt","Raw_data/GSE137684/GSM4084714_9.txt","Raw_data/GSE137684/GSM4084715_10.txt","Raw_data/GSE137684/GSM4084716_12.txt","Raw_data/GSE137684/GSM4084717_13.txt","Raw_data/GSE137684/GSM4084718_14.txt","Raw_data/GSE137684/GSM4084719_15.txt","Raw_data/GSE137684/GSM4084720_16.txt","Raw_data/GSE137684/GSM4084721_17.txt","Raw_data/GSE137684/GSM4084722_18.txt"
"GE_BrightCorner",3.86313231995758,3.84237625910577,3.87913821536318,3.86594665109588,3.86989598884688,3.9671220518383,3.95795052491798,3.94855487376202,3.95377439153927,3.96202868227893,4.04054814631543,3.97878757472941
"DarkCorner",1.75557824106492,1.58594543294576,1.48598950961816,1.84850264782324,1.36039154114187,1.71136751319426,1.37720892642001,1.43944139329012,1.33109422460932,1.15438603045352,1.12883543983022,1.77016544572718
"DarkCorner",1.81974877655578,1.74303405358788,1.48598950961816,1.84850264782324,1.60363565250919,1.49041169460956,1.21735365955312,1.71136751319426,1.23924061395361,0.529507690947388,0.235369576585892,1.26712356598506
"A_23_P117082",3.62697737312673,3.64270003076196,3.61688799553514,3.55477686524407,3.59308101485391,3.61604610024625,3.57615683739269,3.63847547415119,3.61533128871977,3.5785601511887,3.40700160333905,3.56142888646888
"A_33_P3246448",2.05098368447367,1.914329234949,1.86407813802659,1.93727546609862,2.11294931848673,1.81547425140313,1.94044761075652,1.74557210142691,1.93727546609862,1.74809539235964,1.83846041509858,1.74809539235964
"A_33_P3318220",1.72748701527666,1.84850264782324,1.48598950961816,1.17483348915347,1.65608000424323,1.37720892642001,1.00294470681372,1.74557210142691,1.45858798885836,1.15438603045352,1.58232557306221,1.77016544572718
"A_33_P3236322",2.25891631625578,2.11394769878168,2.08705162151127,2.15176008635649,2.23227894249176,1.89884888096409,1.96345570436124,1.74557210142691,1.79792772227577,1.83437435847347,1.8735205773491,2.04381208313633
"A_33_P3319925",2.24824209402228,2.0017201687709,1.96046501116811,2.00707828280177,2.36368094487993,2.27805414914239,2.01757344792408,2.24208528348218,2.11593620423591,2.05216565748657,2.29260562547108,2.18673070594775
"A_21_P0000509",4.04184226380407,3.89628388905583,3.91250764628676,3.75500005959664,3.85343966882646,3.87684340294404,3.80734897551451,3.92832635708412,3.85068876205371,3.92005842201091,3.32119210152272,3.84084955198828
"A_21_P0000744",2.98170174540156,3.12678939344466,3.15120138718652,3.20857825370382,3.11815069463414,3.13666042042384,3.07725173627239,3.1987935252357,3.18945165415184,3.21708967755562,3.15179972876392,3.15521117580984
"A_24_P215804",2.18182646563668,2.0017201687709,1.99765167807741,1.89532624323777,2.06033592530768,2.74621116596647,2.86087324667716,2.71562148909563,2.60316161683289,2.67694761795648,3.37420116976067,2.74191439369035
"A_23_P110167",3.45367996369431,3.35001129525222,3.34569797148248,3.35855881488112,3.34410951534583,3.40144204268553,3.34769148851191,3.41512902729431,3.36190549322583,3.53832172638706,3.29434972472485,3.3954014995935
"A_33_P3211513",3.20068700520024,3.11737142457051,3.18217337233539,3.17165406493376,3.15446031764029,3.19722611343779,3.23058972462499,3.1677920708617,3.21040258014264,3.08017513374025,3.25198654332449,3.1076549101855
"A_23_P103349",2.2192391701062,2.03279018339118,1.99765167807741,2.06492511667308,2.06033592530768,2.10588230287614,2.03279018339118,2.0017201687709,1.98798711917416,1.83437435847347,2.0265242592881,1.92267729547822
"A_32_P61480",1.68312235084326,1.74303405358788,1.84048844940612,1.89532624323777,1.99901265537237,1.89884888096409,1.75557824106492,1.67130368457218,1.62732074278495,1.60363565250919,1.47247890576008,1.72484118963944
"A_33_P3788124",2.79991424046737,2.94094100322401,3.25229481752005,3.10206875157803,3.05990176287409,2.68652163135585,2.63347782628486,2.64488434011799,2.56465874648687,3.07849069011655,1.90580293005401,3.30472275911027
"A_33_P3414202",3.35430795363738,3.30327014842305,3.24727605412487,3.24423468671961,3.35115281111062,3.43515198873043,3.34047752353418,3.34040871778266,3.32231955863016,3.31148674396241,3.55729612754249,3.26492404309636
"A_33_P3316686",3.16576542322372,3.01230109628109,3.03616879378996,2.9870635160438,3.01738649939298,3.17549748273014,3.17469062460478,3.08071422880588,3.15150078004831,2.8961592011349,3.41854422065014,2.97728928028283
"A_33_P3300975",3.06860039829694,3.16119774404013,3.1279744191993,3.18940048525149,3.04338293053356,3.04545443606117,3.00433027193494,3.12032668027142,2.93696670210793,3.32807950933867,2.90255848268818,3.13454021533866
"A_33_P3263061",3.54339943811929,3.58580933631959,3.5518955308625,3.57862081761854,3.53217876268443,3.61356895388498,3.56114240349633,3.55093571504188,3.40458991987247,3.57447273961259,3.50138483959183,3.59741708116291
"A_33_P3261373",1.8735205773491,1.84850264782324,1.52850172674519,1.8735205773491,1.96494248735861,1.58232557306221,1.68891669629053,1.80459358637896,1.45858798885836,1.49041169460956,1.83846041509858,1.58594543294576
"A_24_P278460",3.06043096619765,3.10259357267811,3.11878168354962,3.16265711380544,3.09459221531896,3.09259445519992,3.03530609240463,3.09312997903955,3.04115108828006,3.06065507957124,3.17817862171596,3.11300696210753
"A_21_P0013109",1.84850264782324,1.48598950961816,1.58594543294576,1.5786775610996,1.72748701527666,1.53657332285711,1.60363565250919,1.43944139329012,1.56000121339217,1.30006788630181,1.47247890576008,1.11114573585826
"A_21_P0014651",2.48131208937423,2.48228177669304,2.47076664991412,2.50224362450862,2.38704726022176,2.57654250685171,2.52121387754659,2.56025516485202,2.49553338916497,2.60061139059865,2.6997075785592,2.57208550552966
"A_24_P286898",2.65267153719839,2.80902106100919,2.65416724546744,2.85664354910473,2.81131761826059,2.78309851318054,2.81519195607074,2.75938788564082,2.77650214968498,2.87924540465881,2.66851665313756,2.88775025782165
"A_23_P340890",3.04202566095843,3.15589869020334,3.17288167363531,3.15662409235495,3.2149684809018,3.15059090141863,3.13192102918572,3.18194320974246,3.22167610785191,3.22451059270101,3.19966971502145,3.23750381308781
"A_21_P0005185",2.29141727720071,2.06263762953445,2.09763318669035,2.21701650012626,2.06033592530768,2.30540054382006,2.09343733763885,2.03279018339118,2.12668073157556,2.00840612876596,2.6997075785592,2.29260562547108
"A_21_P0010885",3.2817501844688,3.37824633073271,3.33680188407426,3.34218159386849,3.33971920893335,3.3839084141014,3.34777223744963,3.42527126104479,3.37804224433165,3.35454836204534,3.20475927406162,3.34242749950989
"A_21_P0004635",1.58953752529012,1.70028412669874,1.58594543294576,1.66223121000459,1.72748701527666,1.37720892642001,1.47247890576008,1.49041169460956,1.37720892642001,-4.60907539600535,0.829746011622316,1.49041169460956
"A_23_P89762",2.73244763247038,2.7789012408022,2.82403101985039,2.6683502752027,2.82011127015246,2.71659321853701,2.65774067756173,2.77633773663494,2.74027641311559,2.65486824120151,2.66851665313756,2.6872975873704
"A_33_P3379396",3.83774152411903,2.51464173132887,2.35743675074418,2.63993556617016,2.43253701354737,3.0572846005402,2.60061139059865,2.78352504754943,2.24688361622665,2.42168143790821,3.4378120654687,2.96843831559574
"A_23_P109034",3.28094255445276,3.26673616218528,3.29029954047968,3.44157358922159,3.2362480536925,3.33656769434552,3.24746572088785,3.22320974471502,3.12832165266183,3.29081193711271,2.9678030152144,3.26833869368028
"A_21_P0013603",2.06263762953445,1.89177255411086,1.97229231784635,1.96196322545157,1.99901265537237,1.67725194746817,2.0017201687709,1.93407762461378,1.84048844940612,1.58232557306221,1.47247890576008,2.11692635681983
"A_33_P3261031",2.35792147080779,2.39916975320524,2.30823986060236,2.30196039280902,2.38704726022176,2.53039035786385,2.55877196533309,2.47243923585049,2.53581304755784,2.59149642189396,2.65972465989068,2.52764025611653
"A_33_P3364776",1.75557824106492,1.89177255411086,1.81115571404403,1.79568220389643,2.03154531233166,1.93567978086074,1.65608000424323,2.03279018339118,1.88457002711593,1.77016544572718,1.75557824106492,1.83846041509858
"A_33_P3732466",3.10766769745417,3.1270921117335,3.22055964947066,3.11817499929262,3.14987459068357,3.21099163158303,3.1594204518353,3.11729821636284,3.14087909891097,3.29232575410452,3.01797248051228,3.30288052682509
"A_33_P3402773",3.12182432691095,2.9747179948093,3.00161473128243,2.95902066182963,3.05145131402236,3.25112690038384,3.26507380203971,3.22256321424574,3.24221878360927,3.17458034423015,3.31916554789104,3.16153169222416
"A_33_P3636315",2.52290413461603,2.14359524540683,2.24208528348218,2.26477415039292,2.26218335896659,2.53039035786385,2.43443546271287,2.38035368874041,2.43481373406439,2.36129389502391,2.52430518237365,2.41348198505397
"A_33_P3365553",2.33273307105478,2.60631670819047,2.71436675846744,2.76369003241131,2.70403246232999,2.45314911396766,2.64992249620829,2.69792767338369,2.66152339147626,2.80563306377284,2.55263387239516,2.69037879431057
"A_23_P103837",3.0276068825397,3.05647029785029,3.06051103379884,3.09341776971314,3.13864884353709,3.03044341045554,3.04188596809059,3.08862475045163,3.13219354604259,3.04416208869332,2.90757998268372,3.07825526040032
"A_33_P3402035",3.15368623758548,2.98985188051544,2.91855743161325,3.15443998522214,3.06864662814938,2.96474816484711,3.03306136317936,2.94850114260444,2.90443811085795,3.11125507081701,2.82771075271575,3.00370657710018
"A_21_P0013668",2.31880854557469,2.30311114475363,2.36793267986361,2.24824209402228,2.39661160270404,2.52374557705757,2.54790966954234,2.50163990958962,2.54166215448829,2.46052933765485,2.58994780126043,2.44521821752423
"A_23_P61637",2.59434978848846,2.36368094487993,2.25891631625578,2.44920974422739,2.27805414914239,2.37489380132634,2.6872975873704,2.21627238435231,2.21627238435231,1.93727546609862,3.23831433520859,2.44848792848087
"A_23_P11543",3.35330037789644,3.3415368604859,3.29052074804221,3.31823452377647,3.34425926589659,3.29030960109673,3.27361128862785,3.29030960109673,3.30089145144051,3.23971466559413,3.18954542929734,3.28084730872915
