"","Raw_data/GSE137684/GSM4084711_1.txt","Raw_data/GSE137684/GSM4084712_3.txt","Raw_data/GSE137684/GSM4084713_5.txt","Raw_data/GSE137684/GSM4084714_9.txt","Raw_data/GSE137684/GSM4084715_10.txt","Raw_data/GSE137684/GSM4084716_12.txt","Raw_data/GSE137684/GSM4084717_13.txt","Raw_data/GSE137684/GSM4084718_14.txt","Raw_data/GSE137684/GSM4084719_15.txt","Raw_data/GSE137684/GSM4084720_16.txt","Raw_data/GSE137684/GSM4084721_17.txt","Raw_data/GSE137684/GSM4084722_18.txt"
"HEBP1",3.66381136750343,3.69058358153093,3.65966479027059,3.6013578400879,3.63008649329407,3.6476796668495,3.60545607540798,3.65861025123671,3.63060072941595,3.59355329728638,3.42863343610199,3.58702884922265
"CKLF",3.06405104478333,2.89510625444174,2.91552414516548,2.87058551001127,2.8952260392376,3.17730361996875,3.26606298471939,3.14335019127865,3.06341562945983,3.12875041309277,3.64459552723519,3.16521552476512
"MGST2",3.50757566610424,3.41288624591604,3.40009081028457,3.41543401735353,3.38656418933847,3.42739131611088,3.36887021611678,3.43437712431073,3.3810505118023,3.56068991328728,3.31486959482493,3.41253869635016
"CASC2",1.68312235084326,1.74303405358788,1.84048844940612,1.89532624323777,1.99901265537237,1.89884888096409,1.75557824106492,1.67130368457218,1.62732074278495,1.60363565250919,1.47247890576008,1.72484118963944
"FAR1",2.97748972921637,2.99428472909806,3.04026676107522,3.01972318197563,2.98608944804722,3.0155071847578,2.97133152822764,2.99370447011628,2.96862169858799,2.93839139763536,3.11172199984176,2.97397883776724
"PHLPP1",2.73244763247038,2.7789012408022,2.82403101985039,2.6683502752027,2.82011127015246,2.71659321853701,2.65774067756173,2.77633773663494,2.74027641311559,2.65486824120151,2.66851665313756,2.6872975873704
"SDC4",3.28094255445276,3.26673616218528,3.29029954047968,3.44157358922159,3.2362480536925,3.33656769434552,3.24746572088785,3.22320974471502,3.12832165266183,3.29081193711271,2.9678030152144,3.26833869368028
"UBAP2L",3.04702420988509,3.09444936784178,3.11212350960478,3.11461002923477,3.14220254546625,3.04998819490791,3.06762370692426,3.09428520671834,3.14926924342653,3.04787067646551,2.92965333115608,3.067152057888
"HAL",2.59434978848846,2.36368094487993,2.25891631625578,2.44920974422739,2.27805414914239,2.37489380132634,2.6872975873704,2.21627238435231,2.21627238435231,1.93727546609862,3.23831433520859,2.44848792848087
"FUCA1",3.38123306653082,3.37515722761127,3.32133264569322,3.34664540270899,3.37217393684702,3.30525904541413,3.30120727306497,3.29891302115715,3.32557530466364,3.25930025879863,3.20829786887472,3.29756304593431
"FCER1A",3.02365013516702,2.74692681053479,3.13127186183841,2.97910748578038,2.39004203605833,2.9504735752068,2.9296296424249,2.43439458134572,2.44905173834609,2.18846803582078,3.33435807417365,2.63837962893308
"DHX57",2.48659569125622,2.63444353894211,2.61280350117919,2.67511260522345,2.68112402498199,2.56594607664431,2.55543117977374,2.5989384534509,2.84201098090546,2.55619082062698,2.2055728276301,2.55083836667697
"PAFAH1B1",3.4775432422352,3.4706364935907,3.42576454548932,3.46816722839706,3.4390616465419,3.43128040238645,3.4208787457227,3.44156920571372,3.4401908611889,3.41773258761154,3.52117475160336,3.44337117540886
"LINC03105",2.65495573732699,2.73048543449339,3.12181238901258,2.97936704168374,2.98704106730258,3.02829625138613,3.06522939259211,2.97934380316742,3.04153633843104,3.1222417161878,2.13990523293292,3.17923203421095
"TMEM191A",3.1412083826451,2.99669600594714,2.9746099632014,3.04672261876202,2.94541936550083,3.19075174763034,3.13907504188749,2.99149654176358,3.00615520242856,3.00094280742093,3.37272110365684,3.01765098547797
"MEIOC",0.992059567347511,1.36039154114187,1.34886911892647,1.84850264782324,1.75557824106492,1.17080282965163,1.12883543983022,1.19456367675646,2.29201198903949,0.909908582416764,1.58232557306221,0.836823918839865
"PICALM",3.26051663753567,3.08010217690851,3.11836933317108,3.18748061055196,3.13958109706095,3.19185856345822,3.24256273416734,3.13253368058431,3.12760338538553,3.01504648501321,3.48937791232935,3.17127121624016
"ITPRID2",3.64055322455503,3.70986210332502,3.71538187283839,3.64159771047288,3.7098947349619,3.70826425599848,3.71828786073046,3.72351560090284,3.71919310073845,3.60825385925134,3.46775070416258,3.68416891720327
"DNAJA4",3.49260583035747,3.44506467473377,3.45216720958923,3.34903743041904,3.4276133613524,3.38614133094712,3.32058735351788,3.40072079058412,3.43097047397545,3.38152234553192,3.31729872047668,3.34656455321069
"ACIN1",3.27058859306213,3.26596986204926,3.4586397035617,3.36464366097002,3.39517722455741,3.34722831461429,3.33157415665336,3.3415368604859,3.43369856125693,3.38234546993076,3.25687178503157,3.34726511823759
"PRKD1",3.22729160830764,3.34109638300326,3.28961773942891,3.26922426412165,3.39585124959468,3.24476961664802,3.23798896491695,3.26515479242088,3.26815796770535,3.29709252832721,2.47905768394944,3.3137366337174
"FIG4",2.97616061388873,3.05790139633834,3.00614963345374,3.05278357669554,3.03213131822827,2.95830715050527,2.8596277785165,3.02176260487052,3.03896668589213,3.04774422812837,3.07815217703276,3.05548901167597
"ZSCAN21",2.49946430337977,2.71948746704736,2.69556154523548,2.70700243583958,2.80921634195654,2.61346512892714,2.51956969286842,2.71334514415372,2.74640764550883,2.72852038241463,2.31655521768968,2.73508581606974
"IFNG",2.26146334386947,1.84379070480322,1.70922538788896,1.68387804347876,1.7096427100909,2.04048159403833,1.80392009267119,1.59533572805645,1.77097047120168,1.7935701363915,2.6744431918531,2.32442244191865
"CISH",2.97226078495307,2.84206487346437,2.94603583738786,3.02699018580113,3.01689697667687,3.22158934240568,3.37708358548948,3.47241465535809,3.33845593712617,3.25130657205003,3.33067653878396,3.20070311010825
"TUBGCP3",2.9255347129135,2.85725406973913,2.87177242972419,2.90973435495872,2.88778026861455,2.9040956735737,2.92471668436538,2.86490639732609,2.84930238116991,2.95498319323347,3.07403180408855,2.81260042713398
"FAS",3.19248569680117,3.01207042217621,3.00791108609334,3.11833928074797,3.04511921653272,2.99373910181784,3.10476737774927,2.96245913101626,2.99448266952277,2.97798264969456,3.56155560103282,3.13403706771766
"EFNB2",3.38646306139594,3.51344904945054,3.56376783799437,3.38688131071362,3.54859609234231,3.38900418444896,3.43243150006501,3.47732830780182,3.55624787827113,3.34826328703232,2.78733142825337,3.43833212840609
"CYP2S1",2.51537628831241,2.23636306525121,2.47654263946424,2.36245986617517,2.14343171363152,2.36230381677163,2.28543747459906,1.98877605501408,2.01761211865951,2.16574272903267,2.64835803445364,2.18167568403071
"HSP90AA2P",3.53821484275717,3.54188006826426,3.58584442778153,3.53288292421927,3.60171644496689,3.6045077971746,3.56042545142966,3.61920410486178,3.59048288317785,3.63721868778954,3.32919359859545,3.52912210092254
"APOA1",3.42473536929594,3.57515226935631,3.60963999586325,3.51640121344434,3.46514135819321,3.52206086529514,3.38778882513406,3.58597200395191,3.57546002055233,3.62468685594324,2.99483908982484,3.54196935200477
