"","GSM2595136_NL_1.CEL","GSM2595137_NL_2.CEL","GSM2595138_NL_3.CEL","GSM2595139_NL_4.CEL","GSM2595140_PCOS_1.CEL","GSM2595141_PCOS_2.CEL","GSM2595142_PCOS_3.CEL","GSM2595143_PCOS_4.CEL"
"1007_s_at",9.54887130173114,9.70476295302743,9.66297234059779,9.67855559749653,9.2112004490236,9.76678327550855,9.67119905351653,9.67083992575809
"1053_at",8.61333715533537,8.17660669814247,7.85192146281063,7.7572947614086,7.99569543060309,7.69759999524874,8.53742105816945,8.06937264578074
"117_at",6.20374855172687,6.45548103358324,6.62232355695215,6.21767458426993,6.53738976022926,6.34466360123832,6.46556051354858,6.30171855634797
"121_at",9.0900674325684,8.781674208545,9.16652337461007,8.67744072802521,9.43600670907306,8.87641806782657,9.23534926427708,8.73643888660049
"1255_g_at",3.85189522827079,3.91981255529388,3.71919126548188,3.68602396787371,3.75776296004324,3.68444712664766,3.89538233033813,3.59723370244709
"1294_at",7.95795830446413,7.66562844329765,6.9619237735014,8.01771350717376,7.41315815169791,7.9780006842916,7.8167431185877,8.0644195403976
"1316_at",7.4391204990889,7.71862448070308,7.73946908224545,7.14290022608806,7.64508651043228,7.65300688263831,8.00262743888074,7.18998743871616
"1320_at",6.5523598703849,6.65786886137084,6.30493711789995,6.25950577597069,6.44186673027744,6.48452028432974,6.36800519366597,6.44497603428607
"1405_i_at",3.98091151907782,3.54090214717333,3.58742149224877,3.66581262885505,3.98603279281477,3.87543955187218,3.84746279936807,3.47976548275553
"1431_at",5.38525526655572,6.21444215638069,6.03616265660416,5.67443787168137,5.69333458640172,5.75174941463873,5.71800434830686,5.6812177875768
"1438_at",6.3601433802741,6.2985681272465,6.3715742676143,6.37604513322641,6.44291171640422,6.4264051699474,6.47257504133596,6.30999660157701
"1487_at",8.67043555899355,8.60735072748821,8.82338246118806,8.64525392152131,8.84044326763639,8.67011984418352,9.02129802218728,8.78241602722223
"1494_f_at",6.82359032551877,6.66218259703771,6.77738263523573,6.44408330663946,6.59613778344278,6.44346071581391,6.66450451364631,6.37930919067986
"1552256_a_at",7.89257134801784,7.8661916069691,7.95491917176756,8.49264750430221,8.36247206055055,8.49587077622988,8.41219494644407,8.91008208638293
"1552257_a_at",9.53964864492881,8.88958446774904,9.84321543926492,8.88502011647602,9.63072511447502,9.22732832477334,10.2005777912812,9.04130577881421
"1552258_at",5.68407444341572,5.68576501533499,5.68054644097586,5.64158767145968,5.49525820362422,5.47609018523841,5.56691364901233,5.72927867866669
"1552261_at",5.01916750076967,5.09164298566754,5.23541712549698,5.49179683241434,4.9317625556556,4.98294995660803,5.15743875401792,5.01340889951448
