"","GSM2595136_NL_1.CEL","GSM2595137_NL_2.CEL","GSM2595138_NL_3.CEL","GSM2595139_NL_4.CEL","GSM2595140_PCOS_1.CEL","GSM2595141_PCOS_2.CEL","GSM2595142_PCOS_3.CEL","GSM2595143_PCOS_4.CEL"
"DDR1",8.8706275041158,9.0215980609675,8.94660862338838,9.21169665232691,8.56323555975888,9.10488054375914,8.97425585350679,9.02729712222629
"RFC2",8.74406886556709,8.2371130617179,7.97406941680847,7.83928025035127,8.16759289488795,7.87027769080746,8.73977443978447,8.2021427242059
"HSPA6",6.34186570929728,6.37235828156189,6.78331772353706,6.30898720083102,6.75479737359691,6.47288263430091,6.63447131061666,6.80603584330877
"PAX8",6.2165352740282,5.88653466471982,6.35879372728576,5.93012876227137,6.35884760689412,5.93463001066896,6.22324624192505,5.91313591104301
"GUCA1A",5.59692242174378,5.54914499599586,5.60558736591306,5.60016190652996,5.63136256740852,5.46334261793614,5.7757645092312,5.5129980730423
"UBA7",8.19626374118506,7.91124341389519,7.38816559465251,8.30467091160266,7.56825853267064,8.18915421280457,8.05172405513632,8.28981921532336
"THRA",6.97659441394571,6.98955276778885,7.11714860581226,7.00807358884225,7.14220281982802,6.89326281534621,7.27760453313945,6.89321764002387
"PTPN21",6.84300629034079,6.85691415294371,6.75632385080028,6.7685817884646,6.85081581874978,6.7121101277621,6.74209763465526,6.63265306340213
"CCL5",5.43541273706905,5.02224817689432,5.1127136825332,5.09671353921868,5.35461183584916,5.0909000584354,5.21748140997042,4.9423451464205
"CYP2E1",5.73694253692028,6.37410157884091,6.54836556781657,5.85622776452535,6.14598541728579,6.04761366626583,6.12829846150067,5.97394473236177
"EPHB3",7.0506589977151,6.96363568309352,7.1094062889541,6.9746968260345,7.08659737559095,6.97587439969853,7.21951699811175,6.98286052554324
"ESRRA",8.24579651090368,7.99745357857716,8.22874583345646,8.02903184255466,8.27503568202658,8.0618118608272,8.40733099981099,8.16799881245267
"CYP2A6",6.69591048108108,6.69026289396248,6.82483243587605,6.57877912543885,6.82908711378627,6.56160184203688,6.79599021285103,6.48054338559106
"SCARB1",6.00718158753006,5.92589730688746,6.00900193851407,6.23491857442997,6.1645727936262,6.22704762673845,6.29687045198561,6.44189988987062
"TTLL12",9.02467492923399,8.46708973971188,9.3676283550538,8.46484364367206,9.1464006773986,8.7453460638528,9.76970713005927,8.62306784557305
"WFDC2",5.50097653663487,5.47344720053564,5.68494234778144,5.51456630129413,5.68191802586977,5.37944541774312,5.69165199463966,5.44039910978183
"MAPK1",8.41164816523898,8.45587798389266,8.3731091565736,8.37749484836531,8.48841217577653,8.39733965064748,8.3883349999879,8.48120638190118
"ADAM32",3.53699856059706,3.63239470366033,3.80250025571528,4.17580669838241,3.57867059018781,4.34077846539814,3.61850476803944,4.00019653152607
"SPATA17",4.59261297909798,4.8174148242727,4.40290109864989,4.2910559083353,4.50265128047202,4.68222785620281,4.63769621060831,4.94473175472978
"PRR22",6.40702873386463,5.99581084433086,6.32921126332745,6.08522740074566,6.33340068782295,6.09891452107236,6.31370795833401,6.14776716617448
"PXK",7.67933790235181,7.72720313674325,7.38430019302733,7.61759460747725,7.29413351403094,7.88274424889054,7.61998546040349,7.66603369671312
"VPS18",7.70434459037557,7.61685310406274,7.80826395347267,7.40846267144758,7.8090275737331,7.54429703721969,7.79133584872202,7.57679121763197
