"","Control1","Control10","Control11","Control12","Control13","Control14","Control15","Control16","Control17","Control2","Control3","Control4","Control5","Control6","Control7","Control8","Control9","PCOS1","PCOS10","PCOS11","PCOS12","PCOS13","PCOS14","PCOS15","PCOS16","PCOS17","PCOS18","PCOS19","PCOS2","PCOS20","PCOS21","PCOS22","PCOS23","PCOS3","PCOS4","PCOS5","PCOS6","PCOS7","PCOS8","PCOS9"
"A1BG",9.00472481125377,9.7561387298677,9.58352039356738,9.13322700775585,10.015601039729,9.91682884496717,9.45204514587729,10.3892086085319,9.05229447674486,9.54824769289283,9.81158012379626,9.84974750543493,9.14235327236281,10.4857203027582,10.3843915721494,8.92669252804947,9.68608937109946,9.64162773619674,8.91801473083297,8.94807677196126,9.18021525587502,8.88862499148994,9.35329746103381,9.05025148111861,10.6567906652216,9.54021806661953,9.11214985199854,9.4897857484286,9.98586752219012,10.7130958856525,9.54699098146118,9.56764402380187,10.5182365597017,8.83433730177267,9.76410872353723,9.62033287319811,9.23144000694566,9.35918216624616,9.66975408259889,9.40931163740338
"A1BG-AS1",8.85332554642102,8.77384612857773,8.59365846467718,8.92013177925465,9.05225776166675,9.02926724370165,9.06911864235778,8.92700305549712,8.98913290954823,8.97412451903566,9.3253889316058,9.4874718347539,9.12764602967047,9.76851454395036,9.81869684886599,8.68257341971695,8.79198722604759,9.07406867372722,8.62986619622421,8.57635981839882,9.09055192269468,8.81326063817874,9.19521688625763,8.50746458043094,9.167069249984,9.10175195522192,8.81595314061593,8.93203254315047,9.10429860319803,9.31681554420382,8.63389436429804,9.25157222952039,8.86432713416149,8.44847566659418,9.69187384639179,9.29356879188627,8.72626168940046,9.19145002614928,9.48538050332382,9.3432472579779
"A2M",10.8699603265638,8.45752328333273,7.20226819169088,6.81245117550412,7.68526396489978,7.13892857217046,7.10944654925853,6.80453099527191,8.41625443635909,8.18114740150538,7.75293118098327,7.72590493463904,7.75676046021923,7.71579189171652,7.39148875625141,7.01170951032623,6.6720784644628,6.68752751105944,7.0253120324342,6.75912506560316,6.63212892904446,7.84738827409827,8.14199110391247,7.47402463945618,6.83855620582516,7.21920460505718,7.11296142450898,6.78192724041589,7.11129773670057,7.3076572510779,6.77114968285338,6.66557225522538,7.86049363264192,6.89239558907585,7.18722999399791,6.72671665051835,7.33798578817137,6.78075776823619,6.87161234434267,6.93799798814046
"A2M-AS1",6.64558880894561,5.99556384112928,5.99556384112928,6.55447122646796,6.40872050006245,6.26094012627755,6.79272768186836,5.99556384112928,6.74335672933172,6.37982963399552,6.27673772975499,6.17634563530412,5.99556384112928,6.31404330360303,5.99556384112928,6.34050184111227,5.99556384112928,6.79209977082965,6.54652884092715,5.99556384112928,6.88878816524144,5.99556384112928,6.34121662708993,6.55582935845337,6.17773711190091,6.6910986202006,6.24231588544577,6.66839502983426,6.87771098671446,6.28789064305905,6.32952545530308,6.408148259074,5.99556384112928,7.01341167517036,6.81442077511715,6.95537332853737,6.32281274021344,6.50140194123872,6.51735496569516,6.67906340308343
"A2ML1",6.58442341583514,5.99556384112928,6.5632187669519,6.27632510539003,5.99556384112928,6.55577960513767,6.36306966249548,6.44833958087384,6.17368688712089,5.99556384112928,5.99556384112928,6.59130000646971,6.59871756196025,5.99556384112928,5.99556384112928,5.99556384112928,6.60174708964254,6.17582828815411,5.99556384112928,6.55253214250012,6.49022797257845,6.2542989031222,6.56640500188097,5.99556384112928,6.59582657969889,6.16100458416795,6.9048272669592,6.37401977080991,5.99556384112928,5.99556384112928,6.40412879290316,5.99556384112928,6.55978986770591,6.59124214624487,5.99556384112928,6.28131101642783,6.18477076998636,6.57867462430224,6.40891274652682,5.99556384112928
"A3GALT2",6.8870665696071,5.99556384112928,6.16772228459677,6.15783180053451,6.18083781325434,5.99556384112928,6.22837119855008,5.99556384112928,6.17368688712089,6.16781882549598,6.19454087615692,6.17634563530412,5.99556384112928,6.51390285098019,6.26233789850717,6.16834066704932,5.99556384112928,5.99556384112928,7.01147979797423,6.30194987233293,5.99556384112928,6.17863957715849,5.99556384112928,5.99556384112928,6.35918922330605,5.99556384112928,6.29758880147934,6.44285042228655,6.16788779351302,5.99556384112928,5.99556384112928,5.99556384112928,5.99556384112928,5.99556384112928,5.99556384112928,6.16071965010582,6.41744191430547,6.16494425165754,5.99556384112928,5.99556384112928
"A4GALT",7.89118041285492,12.1137647348116,10.2659987025813,9.24244608020411,10.3306273923752,9.9520887071501,10.5103020409629,9.9810478406637,9.96999792785452,9.15098989251945,10.1318364749523,10.3611440328913,10.2209789879123,10.2050683532188,10.8443042194185,9.96493459224094,10.3527055645356,9.84096541545969,10.2275509746804,9.51854600605686,9.63164857093222,9.37430408568305,9.32640945683631,9.76697459286931,10.3499986989529,9.72882360445087,9.32508082665379,9.0852104244945,9.86504314148028,10.5079708377014,9.0695489982166,9.90761881715404,9.9934276724583,10.102002231791,10.888766734386,9.7725355352806,9.66275654404672,9.41845588446867,9.09059705094148,8.76607800787189
"AAAS",10.0502023688591,9.94764370547714,9.61587501501832,9.22087385687898,9.72027601577604,9.89392953851629,9.40635797765834,9.3837116994231,9.50533488721706,9.35340717840618,9.81354023702085,9.70035759405565,9.74352908051484,9.69937389874896,9.1295380348482,9.19724795322622,9.67090347623151,9.45596915822983,9.48054426272641,9.59832286012861,9.20332997109523,9.9235706361083,9.35329746103381,9.22461769480545,9.49580812253684,9.29178120382913,9.9686409287392,9.19498509818206,9.29428681035931,9.88978418329073,9.8027928132641,9.39870774859687,9.75105445423909,9.60118990693367,9.52596423347439,9.46719522627682,9.7505384158094,9.50912698448034,9.53169287723346,9.66404979370416
"AACS",10.2065357085697,11.0559500069728,10.4974345015101,11.0486554170411,10.4735646591767,11.105260144505,11.0122309130419,11.4106303020298,11.0143332911198,10.7518455727155,10.7944938842606,10.2487692073415,11.0096110420687,11.5231861785907,11.6557743924672,11.1777057654285,11.2343715062266,11.6413357738868,10.7169303453406,10.5486932693526,10.7483111261561,11.6310102700053,10.8507646807262,10.6370666255856,11.447113759912,10.8558019927513,10.1162922110085,10.721449498635,11.0391210450948,10.645944756473,10.5013850800269,11.5071790095783,10.3735971455838,11.5745589521616,11.1440009511487,11.2035463078317,10.6546440772064,11.03899859025,10.5791302256497,10.9084729131216
"AADAC",12.0269346377421,10.3168027532292,11.2537718926343,12.9025554021957,13.4894715190017,11.8396269238146,12.5679679450379,12.8118227838178,14.6194018027243,13.0562863161826,13.1581071352663,11.734612431629,13.0351629536071,12.6827282734676,11.4254607086814,12.9308151686313,11.562703585105,12.8765142126203,12.3269479734523,12.4011112663214,13.1288964614086,12.168397066962,12.7581661695381,14.3605697903105,13.2559622388226,10.9465015919822,12.6756634191734,13.7029448272894,12.7008727956677,9.54643255827017,10.7785206105174,13.7695407634079,13.0730438512464,13.242400793544,12.8870269966138,13.347956616653,12.8245543736009,13.1513962074829,12.0598532368233,12.2039575348878
