"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Regulation"
"TRIP13",-1.36194094493427,8.99339668955257,-35.415226789194,8.58257405384387e-10,7.83704342449581e-06,11.6190259043905,"Downregulated"
"TPX2",-1.50281950724928,8.67850759390752,-34.0648031945365,1.15513394879412e-09,7.83704342449581e-06,11.4669630353255,"Downregulated"
"NCAPH",-1.4891929072521,7.0423808490457,-32.8789996467669,1.51411194445437e-09,7.83704342449581e-06,11.3228421766096,"Downregulated"
"AURKA",-1.21902140728045,8.64640888511591,-29.7403854174047,3.25578137834238e-09,1.26389433107251e-05,10.8860582239671,"Downregulated"
"FGF1",-1.05091649195764,7.33066484656743,-26.5683983643079,7.68791153324873e-09,2.38755780576572e-05,10.3450377317745,"Downregulated"
"MASTL",-1.04751583259719,7.01208452947095,-24.8800182336151,1.26671287856489e-08,3.12335019659717e-05,10.0064105301165,"Downregulated"
"C4orf46",-1.25891584988957,7.08366290216477,-24.5361959123323,1.40800176302036e-08,3.12335019659717e-05,9.93247259876758,"Downregulated"
"DEPDC1",-1.76617482139013,6.84168212377562,-23.1159822078889,2.21418100637552e-08,4.03179116464269e-05,9.60732470663493,"Downregulated"
"CDCA2",-1.90496201405239,7.19871860248766,-22.9523055431734,2.33681868120712e-08,4.03179116464269e-05,9.56769025276073,"Downregulated"
"GSTT2",-1.30795334422991,7.6247112487071,-21.3894714992362,3.98773172967006e-08,6.19214982983167e-05,9.16450601613853,"Downregulated"
"RACGAP1",-1.19757292697261,9.62443215208213,-21.096328782614,4.42680621078824e-08,6.24904062191998e-05,9.08357134111789,"Downregulated"
"LDB2",-0.891035581235215,8.58051416666775,-20.444225961431,5.61353538900359e-08,7.26391479337065e-05,8.8970287515996,"Downregulated"
"SNHG1",1.02293038139302,9.53020968859908,20.0718020564191,6.45033880173376e-08,7.52274993402794e-05,8.7862950080733,"Upregulated"
"SELENBP1",-1.00104136821101,6.99894507498486,-19.9388432815636,6.78248963655275e-08,7.52274993402794e-05,8.74599502954896,"Downregulated"
"CKAP2L",-1.21460232772761,7.26636925466002,-19.5771213269486,7.78814016692224e-08,7.91655874777503e-05,8.6342558061449,"Downregulated"
"PHF19",-0.848871430216492,8.32294579782354,-19.4574131958872,8.1571960306801e-08,7.91655874777503e-05,8.59658651582677,"Downregulated"
"CIT",-0.827761002008496,7.82579427315659,-18.9313076434343,1.00310721288973e-07,9.16249929514808e-05,8.4268259924096,"Downregulated"
"GTSE1",-0.850932378600671,7.00762841909536,-18.3463947061613,1.27073829166507e-07,0.00010962235662764,8.22970339263645,"Downregulated"
"BIRC5",-1.44771580539126,7.64463668646757,-17.9726675067404,1.48368241662483e-07,0.00012125589771237,8.09889177586902,"Downregulated"
"CDCA3",-1.39740253528965,8.38140294380531,-17.6897667640718,1.67175056296082e-07,0.000129794713708278,7.99724143119597,"Downregulated"
"PLK1",-1.06502117280162,6.71521570318831,-17.4391217611024,1.86105651910205e-07,0.000137611836326746,7.90522742189798,"Downregulated"
"LINC01119",-1.0083438286739,7.98086804886237,-17.1528481364251,2.10746062184095e-07,0.00014874840243612,7.79782294861639,"Downregulated"
"MEGF9",-0.617542590770283,9.09530780353457,-17.0389701714834,2.21554141220043e-07,0.000149577943689775,7.75439706800253,"Not Significant"
"KIF4A",-1.80354946415972,7.41429326256398,-16.5885090637427,2.70879787815824e-07,0.000175259222716838,7.57858814966451,"Downregulated"
"DSN1",-0.891699912635523,7.28470051919801,-16.3458397414871,3.02513065246589e-07,0.000187896915085961,7.48113133912004,"Downregulated"
"TSPAN2",-1.05154348915668,7.03163774019694,-16.1595566205547,3.29630410368271e-07,0.000193350240867975,7.40497247153463,"Downregulated"
"IQGAP3",-0.813025182199456,7.01278534008295,-16.117044192329,3.36196322993001e-07,0.000193350240867975,7.38742513396788,"Downregulated"
"KIF2C",-1.09978382969024,7.41668497037531,-15.7726798980063,3.95164511748863e-07,0.000219146947801298,7.2429522087689,"Downregulated"
"SLC19A2",0.684887453483686,8.12826210955218,15.3736273758139,4.78570399068374e-07,0.000245839966843738,7.07018340741924,"Not Significant"
"CENPN",-0.756047885363992,7.73966532263222,-15.3489632747828,4.84342786250528e-07,0.000245839966843738,7.05931108685086,"Downregulated"
"PHACTR1",0.559816953366161,5.98241423657068,15.3217902576561,4.90793339268153e-07,0.000245839966843738,7.04730619107968,"Not Significant"
"FANCI",-1.07071718233586,7.27194674418551,-15.1211214129278,5.41540159139128e-07,0.000262782362222262,6.95777976920699,"Downregulated"
"BARD1",-1.06194051873821,7.11872939046018,-14.9948907880347,5.76482020803317e-07,0.000271260994516179,6.90066545372707,"Downregulated"
"NBL1",-0.63564534063214,10.5957134965232,-14.3887268774015,7.83887370033942e-07,0.000339818990866649,6.61750032079158,"Not Significant"
"KPNA2",-0.595364254033539,11.0346116319938,-14.3788328518915,7.8790817209522e-07,0.000339818990866649,6.61275260282238,"Not Significant"
"CADM1",0.845810149608369,6.57378708805568,14.3316707757208,8.07396141652753e-07,0.000339818990866649,6.5900645480425,"Upregulated"
"FAM111A-DT",-0.745233015894519,7.1360320051802,-14.3261370678468,8.09718100339129e-07,0.000339818990866649,6.58739627899416,"Downregulated"
"RPL39L",-0.827825055270723,7.43848138327697,-14.2293732192663,8.51560388043816e-07,0.000347974465935378,6.54052677758818,"Downregulated"
"GDF15",0.631623290239542,8.99545493023869,14.0247419245859,9.48311778595988e-07,0.000377573982000987,6.44007570806662,"Not Significant"
"NR0B1",0.501793945121237,6.52898689934127,13.627927909871,1.17332864040494e-06,0.000455486178205197,6.23997516073922,"Not Significant"
"HOXB-AS3",1.15860118771842,6.3881121151973,13.5346114513419,1.23460583723728e-06,0.000457858172804931,6.19187206568239,"Upregulated"
"QPCT",-0.868053108019536,9.31881541491079,-13.5289897605086,1.23841082288814e-06,0.000457858172804931,6.18896118890224,"Downregulated"
"RRM2",-1.80581927826125,9.69761017055102,-13.3492182100085,1.36733418756008e-06,0.000493766634056579,6.09508930890835,"Downregulated"
"ITGA8",-0.537386740205108,6.23451408079456,-12.9749357894561,1.68720482045945e-06,0.000595429919365781,5.8946345431543,"Not Significant"
"TSHZ1",-0.511023403624236,8.47432036482586,-12.9046768093065,1.75620648767474e-06,0.000606008318680297,5.85623060115304,"Not Significant"
"GAS7",-0.498658125250182,7.15142879634715,-12.7309459605443,1.94087554024255e-06,0.000655172073671441,5.76018832246028,"Not Significant"
"RMI2",-0.70263822527463,7.38275188073753,-12.6798708347676,1.99924954969125e-06,0.00066051802143842,5.73165658968785,"Downregulated"
"CABLES2",-0.555069203720254,7.49850883786779,-12.53247670791,2.17908571484587e-06,0.000704934228752638,5.6485518937908,"Not Significant"
"CDC20",-1.92555224016506,8.45231856854675,-12.3696309001387,2.39924664016546e-06,0.000760316363846719,5.55538968606022,"Downregulated"
"CDK2",-0.989864975571498,8.38239086679333,-12.3209126145506,2.46989316286396e-06,0.00076705002065903,5.52723971952398,"Downregulated"
"PDLIM5",-0.500145208832274,8.57518247189259,-11.972516939814,3.04898918557989e-06,0.000918357865379428,5.32209737342779,"Not Significant"
"BUB1",-0.995133408844537,6.49346978228577,-11.9584512513188,3.0753869783443e-06,0.000918357865379428,5.31367129298952,"Downregulated"
