"","GSM2595136","GSM2595137","GSM2595138","GSM2595139","GSM2595140","GSM2595141","GSM2595142","GSM2595143"
"DDR1",8.8706275041158,8.8706275041158,9.0215980609675,9.0215980609675,8.94660862338838,8.94660862338838,9.21169665232691,9.21169665232691
"RFC2",8.74406886556709,8.74406886556709,8.2371130617179,8.2371130617179,7.97406941680847,7.97406941680847,7.83928025035127,7.83928025035127
"HSPA6",6.34186570929727,6.34186570929727,6.37235828156189,6.37235828156189,6.78331772353706,6.78331772353706,6.30898720083102,6.30898720083102
"PAX8",6.82636325905066,6.82636325905066,6.51255250486365,6.51255250486365,6.92519620527999,6.92519620527999,6.44880222519815,6.44880222519815
"UBA7",8.19626374118506,8.19626374118506,7.91124341389519,7.91124341389519,7.38816559465251,7.38816559465251,8.30467091160266,8.30467091160266
"THRA",6.97659441394571,6.97659441394571,6.98955276778885,6.98955276778885,7.11714860581226,7.11714860581226,7.00807358884225,7.00807358884225
"PTPN21",7.12126309751904,7.12126309751904,7.14583445382926,7.14583445382926,7.03153971164755,7.03153971164755,7.09478777567143,7.09478777567143
"CYP2E1",5.73694253692028,5.73694253692028,6.37410157884091,6.37410157884091,6.54836556781657,6.54836556781657,5.85622776452535,5.85622776452535
"EPHB3",7.0506589977151,7.0506589977151,6.96363568309353,6.96363568309353,7.10940628895411,7.10940628895411,6.9746968260345,6.9746968260345
"ESRRA",8.24579651090368,8.24579651090368,7.99745357857716,7.99745357857716,8.22874583345646,8.22874583345646,8.02903184255466,8.02903184255466
"CYP2A6",6.69591048108108,6.69591048108108,6.69026289396249,6.69026289396249,6.82483243587605,6.82483243587605,6.57877912543885,6.57877912543885
"SCARB1",7.60737745770727,7.60737745770727,7.68429359816672,7.68429359816672,7.731571228551,7.731571228551,8.29254245224788,8.29254245224788
"TTLL12",9.02467492923399,9.02467492923399,8.46708973971188,8.46708973971188,9.36762835505379,9.36762835505379,8.46484364367206,8.46484364367206
"MAPK1",8.41164816523898,8.41164816523898,8.45587798389266,8.45587798389266,8.3731091565736,8.3731091565736,8.37749484836531,8.37749484836531
"PRR22",6.40702873386463,6.40702873386463,5.99581084433086,5.99581084433086,6.32921126332745,6.32921126332745,6.08522740074566,6.08522740074566
"PXK",7.67933790235181,7.67933790235181,7.72720313674325,7.72720313674325,7.38430019302733,7.38430019302733,7.61759460747725,7.61759460747725
"VPS18",7.70434459037557,7.70434459037557,7.61685310406274,7.61685310406274,7.80826395347267,7.80826395347267,7.40846267144758,7.40846267144758
"MSANTD3",10.5154021103903,10.5154021103903,10.5666047366177,10.5666047366177,10.6639197712616,10.6639197712616,10.5265297195216,10.5265297195216
