"","logFC","AveExpr","t","P.Value","adj.P.Val","B","threshold"
"CCKBR",-1.03158008918488,5.30738729002356,-8.71687049502917,1.36511608494575e-12,1.87888870360354e-08,18.2852472429831,"Downregulated"
"ATP4B",-4.25387271359713,5.84941665622033,-8.59370842164728,2.264539838018e-12,1.87888870360354e-08,17.8043161886118,"Downregulated"
"CHGA",-1.63428671243974,5.30193882982548,-8.31819260637758,7.03965466938188e-12,3.89386765279076e-08,16.7258741130255,"Downregulated"
"ATP4A",-3.58775853610856,5.78485600698345,-8.05253908066497,2.10498634124145e-11,6.15514291918144e-08,15.6835302273351,"Downregulated"
"SLC5A5",-1.84963090392945,4.97952640538327,-7.97378333183023,2.91306861915631e-11,6.15514291918144e-08,15.3742110930668,"Downregulated"
"SST",-2.14126479758814,5.12554404549995,-7.9693037119672,2.96740649351883e-11,6.15514291918144e-08,15.3566142208241,"Downregulated"
"PXMP2",-1.15710922321787,5.52188348412386,-7.70998414278773,8.64960405781649e-11,1.43531529735407e-07,14.3376956596103,"Downregulated"
"KCNQ1",-1.0600368784796,5.55008835168347,-7.66860605900242,1.02591751634168e-10,1.5476432060158e-07,14.1751097982333,"Downregulated"
"PSCA",-2.44788376071649,6.1982311438684,-7.23184132151392,6.19926299751734e-10,4.47263348612186e-07,12.4607870148849,"Downregulated"
"AKR7A3",-1.4315103818841,5.45654647389612,-7.17306501285853,7.89286588930515e-10,5.05739192831352e-07,12.230550925169,"Downregulated"
"VSIG2",-1.8432389504366,5.90689471717443,-7.16618061341311,8.11925121232366e-10,5.05739192831352e-07,12.2035939785863,"Downregulated"
"B4GALNT3",-1.09703908697839,4.85678191954547,-7.15434109293566,8.52382024109512e-10,5.05739192831352e-07,12.1572397932316,"Downregulated"
"KCNE2",-3.10260716412774,4.96109087302045,-7.13527947519998,9.21781339649477e-10,5.27449639660118e-07,12.0826240413068,"Downregulated"
"CAPN13",-1.05866835055582,4.134017531834,-7.10891229264172,1.02715429233105e-09,5.49825752481984e-07,11.9794413992683,"Downregulated"
