"","logFC","AveExpr","t","P.Value","adj.P.Val","B","threshold"
"CCKBR",-1.03158008918488,5.30738729002356,-8.71687049502917,1.36511608494575e-12,1.87888870360354e-08,18.2852472429831,"Downregulated"
"ATP4B",-4.25387271359713,5.84941665622033,-8.59370842164728,2.264539838018e-12,1.87888870360354e-08,17.8043161886118,"Downregulated"
"CHGA",-1.63428671243974,5.30193882982548,-8.31819260637758,7.03965466938188e-12,3.89386765279076e-08,16.7258741130255,"Downregulated"
"SULF1",2.52438518179025,6.58803661495231,8.16347610494013,1.33209772027595e-11,5.52620739256478e-08,16.119040462411,"Upregulated"
"ATP4A",-3.58775853610856,5.78485600698345,-8.05253908066497,2.10498634124145e-11,6.15514291918144e-08,15.6835302273351,"Downregulated"
"C16orf89",-0.871602041131214,4.91252436657231,-8.01832141035873,2.42411082745875e-11,6.15514291918144e-08,15.5491501179842,"No"
"SLC5A5",-1.84963090392945,4.97952640538327,-7.97378333183023,2.91306861915631e-11,6.15514291918144e-08,15.3742110930668,"Downregulated"
"SST",-2.14126479758814,5.12554404549995,-7.9693037119672,2.96740649351883e-11,6.15514291918144e-08,15.3566142208241,"Downregulated"
"PRSS16",-0.431850572156817,3.77252804599902,-7.92055578084301,3.62846320969808e-11,6.69007983352555e-08,15.1651063406247,"No"
"PXMP2",-1.15710922321787,5.52188348412386,-7.70998414278773,8.64960405781649e-11,1.43531529735407e-07,14.3376956596103,"Downregulated"
"KCNQ1",-1.0600368784796,5.55008835168347,-7.66860605900242,1.02591751634168e-10,1.5476432060158e-07,14.1751097982333,"Downregulated"
"THY1",1.7395708493702,6.91879802783538,7.61205888411678,1.29533158450832e-10,1.79122769277759e-07,13.9529426039656,"Upregulated"
"COL6A3",1.92588940028025,7.2979905471484,7.54409480663847,1.71419558422134e-10,2.18810473265915e-07,13.6859710164688,"Upregulated"
"SRGAP2B",0.93794843722564,6.18893866559624,7.50004052357648,2.05545581581264e-10,2.25937725410834e-07,13.5129605333433,"No"
